Average Speed (mpm),Average Travel Time (HH:MM:SS),Average Distance Travelled (m),Average Speed (mpm) AM Peak,Average Distance Travelled (m) AM Peak,Average Speed (mpm) PM Peak,Average Distance Travelled (m) PM Peak
464.8,,12676.7,249.5714,11717.1,314.2857,10446
460,,12748.63,211.2857,11783.4,396.8571,10498
544.4,,12824.3,320.7143,11965.2,338.7143,10499
476.6,,12829.4,204.7143,12005.4,310.5714,10504
448.6,,13078.48,271,12051.3,272.8571,10518.5
555.8,,13086.43,229,12084.6,284.2857,10562
579.8,,13286.6,321.8571,12088.2,289.5714,10564
513.8,,13407.8,205.5714,12136.5,288.4286,10569
546.4,,13467.2,200.5714,12165,342.4286,10569.5
588.8,,13641.35,338.2857,12232.2,314.1429,10574
531,,13709.08,262.1429,12297.9,345.1429,10578
640.8,,13787.15,208,12381.3,261.5714,10602
499.8,,13787.23,290,12404.1,257.5714,10605
455.2,,13829.38,209.8571,12432.9,357.5714,10610
442.2,,13876.25,337,12470.1,416.4286,10656
550.2,,13918.33,286,12589.2,176.4286,10660.5
488.8,,13933.03,379.7143,12687.3,353.7143,10710
337.8,,13976.15,221.2857,12719.4,374,10711.5
463.4,,14028.8,217,12849.6,299.7143,10730
368.4,,14044.18,350.1429,12889.2,425.4286,10745
483.8,,14164.78,374.8571,12908.7,411.1429,10748
563.4,,14263.7,278.7143,12953.4,274.8571,10762.5
510.8,,14397.5,375.4286,13102.8,337.8571,10763.5
591.6,,14418.73,225.5714,13215.9,362,10836.5
485.4,,14442.13,293,13413.9,302.1429,10860.5
540,,14522.45,267.5714,13718.7,320.7143,10861.5
588.2,,14605.25,230.1429,13788.3,230.8571,10873.5
536.4,,14617.4,275.4286,13955.7,324.4286,10900.5
437.8,,14683.25,331.7143,14335.5,307,10905
610.2,,14748.13,255.5714,14373.9,230.5714,10964
469.2,,14826.05,458,14436.3,409.7143,10983
543.8,,14847.43,380.1429,14564.4,361.2857,10993.5
432.6,,14863.93,371.5714,14659.5,340.2857,11018
457.8,,14866.63,557,14694.9,259.7143,11026
437.6,,15022.55,281.1429,14724.9,341.4286,11037.5
476.8,,15033.28,367.4286,14892.3,350.8571,11073.5
550.2,,15097.33,445.4286,14973,291.8571,11081.5
445.2,,15258.2,322.8571,15154.8,344.8571,11095.5
358.8,,15293.6,376.8571,15943.2,255.8571,11103
543.4,,15317.08,359.4286,16335,240.7143,11185
605.6,,15342.65,440.7143,16427.4,240.4286,11231
571.8,,15523.63,387.7143,16464.6,167,11247.5
520.4,,15705.43,419.1429,16491.6,323.4286,11278
339.4,,15719.83,501.7143,17299.2,320.2857,11285
519.8,,15746.45,384.8571,17408.1,346,11286.5
593.2,,15818.08,412.2857,17449.5,332,11310.5
516.8,,15876.65,276.2857,17654.7,297.4286,11318
501,,15975.43,438.8571,17909.7,226.5714,11333.5
484.6,,15987.28,311.8571,17976.3,369,11335
465.6,,16015.55,344.1429,18130.5,379,11352.5
561.4,,16069.03,364,18246.9,356.5714,11364
598.6,,16245.43,367.7143,18468.3,363.2857,11366.5
440.4,,16256.83,329,18574.5,236.8571,11373
510.2,,16497.28,437.2857,18729.9,238,11376
574.6,,16556.15,377.8571,18735.6,272.8571,11410.5
573,,16619.3,352.8571,18981.3,339.4286,11429.5
399,,16644.28,404.4286,19041.6,361,11439.5
400.2,,16737.5,310.7143,19062.6,318,11451
613.4,,16773.65,384.2857,19154.7,193,11473.5
439.6,,16907.08,309.4286,19424.1,251.7143,11482
435,,16969.48,423.4286,19554.3,324.4286,11484
520.2,,16988.6,385.7143,19692.3,281.8571,11525.5
543.6,,17129.23,283.2857,20052.3,398.8571,11544.5
564,,17144.38,376.5714,20062.2,273.4286,11547
513.6,,17175.5,325,20415.3,344.2857,11610.5
601.4,,17250.05,316.2857,20441.1,283.2857,11615.5
497.8,,17263.18,398.7143,20566.8,374.2857,11642.5
493.2,,17381.53,368.7143,20648.1,204.7143,11646.5
520.6,,17396.15,308.1429,20773.2,373.2857,11648.5
651,,17459.6,366.8571,20826.3,352.1429,11702
552,,17560.48,351.7143,21206.7,359.7143,11710.5
524,,17921.68,394.2857,21236.7,156.4286,11712.5
521,,17958.8,286,21282.3,354,11736.5
435,,18074.23,361.2857,21313.2,200.2857,11775.5
576.8,,18109.03,384,21431.7,354.8571,11786
556.6,,18143.53,393.2857,21601.2,267.1429,11794.5
595.6,,18152.23,366.5714,21639.6,336.8571,11808.5
512.2,,18170.83,412.2857,21651.9,273,11811
470.8,,18225.58,417.7143,21677.4,243.8571,11818.5
519.8,,18366.58,309.5714,21722.7,393,11839
531.6,,18515.45,383.2857,21776.1,377.2857,11846
517.2,,18524.15,411,21780.3,311.5714,11866.5
544.8,,18588.65,408.2857,21905.4,349.8571,11886
581.6,,18606.35,430.5714,21998.4,317.1429,11906.5
579.4,,18633.5,411.2857,22091.1,207.7143,11925.5
422.2,,18664.25,391.4286,22200.6,282.2857,11945.5
533.6,,18674.3,340.1429,22561.8,256.1429,11983
543.2,,18760.93,381.1429,22647.6,325.4286,12067
495.8,,18769.33,374.5714,22755.9,410.4286,12072
506,,18772.7,322.5714,22775.7,224.5714,12084.5
483.6,,18789.28,361.4286,22828.2,165.8571,12094
541.8,,18797.23,368.2857,22892.7,313.4286,12099.5
572.4,,18819.2,459.8571,22919.7,341.8571,12137
517,,18920.08,393.8571,23001,382,12155
540.2,,18942.5,376.8571,23031.3,214.7143,12225
544,,19012.78,352.8571,23140.5,453.5714,12227
494.4,,19114.48,360.8571,23202.6,345.2857,12328
418.8,,19221.58,401.7143,23287.8,366.7143,12340
528,,19334.68,428.7143,23393.7,185.1429,12365.5
543.6,,19378.03,375.7143,23413.2,306.1429,12450.5
515.8,,19481.08,407.4286,23417.4,337.1429,12485.5
510.6,,19559.83,416.4286,23419.8,164.4286,12579.5
539.6,,19644.58,492,23460.9,264.5714,12595.5
493.6,,19648.33,408.5714,23542.8,182.7143,12653
530.8,,19670.68,421.5714,23551.2,326,12677.5
565,,19687.03,408.1429,23613.9,387.5714,12737
656,,19714.55,406.7143,23637.6,420.8571,12797
553.8,,19829.83,374.2857,23655.9,290.5714,12827.5
536,,19876.78,409,23723.4,324.4286,13100
548.2,,19935.05,371.1429,23851.8,333,13431.5
529.6,,19962.2,408.2857,23889,273.5714,13623
582.8,,20045.68,411.1429,23994.9,203.8571,13730.5
406,,20125.33,409.2857,24067.8,332.4286,13939.5
586.6,,20171.68,404.4286,24108.6,345.7143,14028.5
586,,20203.55,340.5714,24226.5,227.4286,14247
487.8,,20249.3,355.4286,24278.4,310.1429,14281.5
529,,20359.03,389.2857,24304.5,246.8571,14352
512.4,,20437.03,421.2857,24306.6,372.7143,14365
529.2,,20442.43,364.8571,24319.5,208,14453
578.6,,20489.9,405.4286,24320.4,356.5714,14582.5
488,,20512.03,404.8571,24329.1,338.2857,14608
590.4,,20644.03,386.1429,24469.5,236,14648
572,,20699.9,379.4286,24478.2,384.7143,14875
567.2,,20702.75,371.2857,24528.9,205.1429,14883.5
439.8,,20743.1,347.1429,24648,230,15106.5
514.8,,20830.78,395.8571,24658.2,342.8571,15184.5
560.8,,20872.85,414,24665.1,295.5714,15210
580.4,,20915.38,436.7143,24689.1,222.8571,15609
560.2,,20923.78,437.2857,24689.1,256.7143,15811
419,,21079.4,372.4286,24846,330.5714,16224.5
536.8,,21094.33,396.2857,24864.3,254.4286,16335.5
532.2,,21117.73,407.8571,24866.4,351.2857,16444
611.4,,21169.63,418.8571,24866.7,333.5714,16472.5
394.8,,21318.95,434.4286,24916.2,266.7143,16491
564.2,,21370.03,454,24953.7,300.7143,16941
484,,21558.43,401.7143,24975.9,362.8571,17121.5
589.2,,21690.88,436.5714,24998.7,273.7143,17631.5
528.4,,21693.65,375.1429,25064.1,286.7143,17790
631.8,,21775.1,427.1429,25082.7,301.2857,17932.5
579.6,,21790.4,423,25089.9,276.1429,18128
577.4,,21862.03,415.2857,25125.6,282.7143,18146
483.2,,22112,433.5714,25174.8,378.8571,18181.5
575.2,,22234.85,436.8571,25191.3,290.8571,18806
529.6,,22245.8,457,25241.1,320.5714,19427.5
461.2,,22370.08,436.8571,25246.8,304.5714,19522.5
588.8,,22480.4,394.1429,25279.8,313.4286,21213
605.6,,22563.88,386.7143,25296.9,319.4286,21849.5
617.2,,22667.6,441.8571,25345.8,325,22149.5
602,,22697.08,420.1429,25412.1,358.2857,22500.5
557,,22896.2,439.2857,25479.3,319.4286,22539
592.2,,23369.15,424.5714,25788.9,359.5714,23178.5
565.6,,23662.1,440.5714,26036.4,314.1429,23245
575.8,,23826.43,386.8571,26101.2,344.7143,23260
577.8,,23854.33,439.8571,26120.4,349,23276
524.2,,24022.25,409.1429,26205.6,341.4286,23429.5
508,,24286.18,391.4286,26251.2,325.7143,24252
565.4,,24538.4,426.8571,26269.5,332.8571,25280
472.6,,24598.1,375,26290.2,337.8571,25506.5
440.4,,25013.45,414.1429,26374.2,344.5714,25816.5
600.8,,25058.45,409.1429,26429.1,359.1429,26275
516.4,,25100.23,443.4286,26956.2,364.5714,26730
498.8,,26055.05,411.5714,26959.5,373.7143,26962.5
530.6,,26599.18,416.4286,27114.9,385,27515
547.4,,26612.3,412,27377.1,363.8571,27827
624.4,,27066.5,435.8571,27864.9,311.8571,31640
512.8,,27567.73,454,28100.7,328.8571,33736.5
568.4,,27767.23,440.5714,28128,132.4286,48940
593,,28362.95,461.7143,29140.8,268.5714,52789
560.4,,29057,444,29979.3,159,76774
611.8,,30146.3,438.7143,33251.7,137.8571,130851
559.6,,30405.35,463.2857,33445.5,189.4286,160064
532,,31914.05,397.2857,33914.7,321.4286,327640.5
537.8,,32413.7,351.8571,34264.8,336.7143,334850
409,,33288.88,400.7143,36436.5,323.2857,335362
567.6,,33417.58,433,37160.1,331.2857,482719.5
607.2,,33984.05,408.2857,37669.8,306.2857,515449
595,,35054.75,345.2857,38706.3,389.2857,533295.5
599.2,,35486.45,344.4286,40161.3,157.4286,1119019
470.4,,36428.53,262.2857,40866.6,340.2857,1323919
564.6,,36897.43,438.5714,41824.5,300.1429,1757496
497.4,,36918.58,426.5714,45123,381.5714,1828541
508.4,,36982.1,416.7143,49023,353.5714,1853033
473,,38138.15,423.8571,53072.4,302.1429,1919597
418.2,,39222.43,362.1429,58120.5,383.5714,1981554
454,,39761.83,111.8571,67466.1,313.7143,2335984
545,,40136.83,386.2857,72864,356.5714,2380949
583.8,,41912.15,387.7143,74462.1,431.2857,3739796
520.2,,42297.8,407,77054.4,323.2857,3792791
472.4,,42896.6,398,128859,308.5714,3803090
479,,63739.48,227.7143,144807.6,331.2857,4204903
603.8,,64096.1,397.2857,153987,,
568.8,,68154.28,208.7143,194829,,
329,,84161.23,356.8571,196683.6,,
413.2,,87774.2,272.1429,204553.8,,
523.4,,96241.93,409.2857,246128.4,,
517.4,,120312.2,377.8571,658972.2,,
500.4,,129640.8,443.5714,809959.8,,
388.8,,134358.5,438.2857,940669.5,,
440.2,,142515.1,330,3824742,,
519,,173047.5,282.2857,5417031,,
504.8,,670329.4,364.4286,5484612,,
552.6,,683454.3,384.8571,6878646,,
561.8,,729657.4,432.4286,7984275,,
503,,3530902,408.7143,9465129,,
423.4,,3979254,392.7143,9544287,,
499.6,,4697729,405.2857,9727512,,
444.4,,5030869,420.5714,10213470,,
613.4,,5639612,369.8571,10258227,,
542.6,,6773497,445.4286,10910772,,
540,,7640338,398.5714,11092818,,
502,,9634445,377.8571,15112089,,
573.4,,9763318,483.7143,15143643,,
498,,10231250,440.8571,16329582,,
520,,10730293,464.7143,17492631,,
537.4,,10842725,415.7143,21191697,,
486.2,,11904358,,,,
625,,12482728,,,,
645.6,,13513318,,,,
569.2,,14170978,,,,
578.8,,15328198,,,,
