17.34,18521,113.902,17.04,22.927,13.51,22.947
28.07,31327,227.587,20.3,41.347,22.8,48.504
31.22,52850,374.22,30.57,82.297,25.08,45.001
30.57,45146,295.595,31.99,84.137,21.38,20.789
22.97,1146,70.354,8.33,20.338,15.5,7.179
25.61,46914,255.611,27.74,82.881,24.1,23.221
28.59,32432,220.315,23.02,17.241,21.74,21.008
28.76,46777,309.798,31.04,89.854,25.18,23.421
17.38,20572,151.622,21.57,69.244,2.25,0.462
20.01,37214,236.5,17.89,47.913,16.85,22.37
21.99,35419,289.908,20.02,41.964,16.66,22.752
26.8,45401,278.357,26.38,76.771,15.26,13.71
25.1,41590,128472.6,27.9,36976.06,24.96,4761.897
25.05,22270,226.339,25.3,76.094,3.58,2.667
11.63,7036,151.776,10.12,17.851,7,24.265
23.84,34965,213.777,21.06,31.434,23.65,51.013
27.09,45220,263.963,29.32,82.889,26.6,20.362
30.86,36052,315.568,29.64,65.181,26.53,22.705
28.65,36037,234.924,27.62,38.85,26.16,53.925
25.99,37343,223.286,26.61,48.548,27.78,20.996
29.39,23214,182.261,23.68,40.774,19.16,35.263
29.06,3734,172.506,21.66,28.31,26.52,36.363
23.06,45884,311.601,24.7,77.135,23.6,24.971
27.69,44855,277.731,27.59,84.266,23.26,19.978
30.78,20994,179.106,19.51,43.178,8.31,7.581
30.51,33352,209.975,30.72,59.699,11.91,10.209
27.25,39779,548.491,27.25,81.015,21.99,21.148
24.31,23247,174.099,26.58,42.291,20.69,30.42
26.03,39645,245.282,25.48,60.823,19.49,39.164
29.66,30691,224.241,25.74,61.561,2.6,0.111
20.3,43742,281.671,21.67,72.409,18.7,23.589
16.65,27862,165.718,1.34,1.653,21.43,24.901
20.4,45056,379.031,19.82,82.199,16.16,21.747
21.75,30086,254.323,22.58,75.919,17.91,22.206
20.48,27377,178.205,19.68,49.083,14.09,33.102
16.85,28007,176.696,5.33,9.549,16.58,22.746
17.9,28226,253.973,16.3,62.238,12.4,32.212
29.58,18261,205.583,24.97,34.892,16.1,30.213
22.89,33320,211.555,22.45,39.884,23.68,29.216
26.2,43785,252.289,28.98,82.217,24.96,22.728
25.86,42941,260.322,29.15,78.066,16.74,19.967
27.63,40529,9126.057,31.05,2699.866,22.5,655.281
15.74,17507,124.96,11.94,30.085,9.54,33.083
22.26,37181,216.776,24.7,63.271,14.59,15.334
23.68,25303,171.43,1.78,0.227,17.32,20.105
21.56,23025,181.796,19.39,29.572,21.99,46.49
28.23,44463,505.299,29.17,163.41,18.87,19.917
28.98,46965,303.872,30.93,84.486,22.2,23.813
21.17,35852,53070.05,19.76,18056.77,9.65,261.702
28.27,53338,340.512,30.35,83.916,25.47,55.654
30.07,33945,243.334,20.78,10.485,28.68,21.966
16.45,15824,1135.483,15.94,482.692,10.27,50.462
29.02,39500,292.205,28.58,125.566,26.13,23.297
19.22,14592,104.046,20.26,35.833,5.09,14.345
27.22,30054,184.324,22.83,20.55,22.36,45.078
27.41,44719,279.134,29.07,83.752,18.77,20.407
28.99,20851,190.488,25.14,21.069,25.89,39.992
26.01,29758,239.848,25.03,15.694,24.2,28.057
16.89,27777,199.682,16.9,28.481,14.44,53.987
26.84,46602,294.591,28.38,81.068,17.68,41.877
27,50265,101884.5,27.49,31814.29,23.82,2647.837
36.06,23392,148.15,14.33,40.018,11.04,10.873
29.75,44777,480.73,31.08,99.931,20.83,20.511
27.6,38988,247.473,25.81,68.827,17.47,36.95
19.98,3400,139.555,15.79,32.556,19.15,27.246
12.79,2879,39.812,4.44,4.679,0.88,0.357
