,0,1
0,16.0,30.0
1,28.57142857,32.4
2,54.0,65.7
3,25.42857143,68.1
4,21.42857143,88.2
5,38.14285714,100.2
6,44.71428571,117.6
7,34.0,120.9
8,22.28571429,350.4
9,72.28571429,376.2
10,19.14285714,495.9
11,42.57142857,666.3
12,149.8571429,781.2
13,446.4285714,813.0
14,61.71428571,1053.9
15,224.2857143,1380.3
16,63.42857143,1403.7
17,253.4285714,1423.8
18,65.42857143,1593.0
19,143.4285714,1714.2
20,157.8571429,2021.4
21,110.7142857,2110.5
22,46.42857143,2223.9
23,128.1428571,2331.9
24,56.57142857,2487.9
25,76.14285714,2864.7
26,68.0,2979.0
27,69.85714286,3048.6
28,201.5714286,3068.4
29,233.5714286,3109.5
30,296.8571429,3145.5
31,274.4285714,3333.3
32,94.14285714,3383.7
33,389.5714286,3468.6
34,225.2857143,4055.7
35,140.4285714,4143.6
36,353.7142857,4244.7
37,292.1428571,4372.8
38,121.4285714,4375.5
39,165.0,4381.5
40,184.1428571,4425.6
41,260.1428571,4480.5
44,279.5714286,4667.1
45,357.5714286,4708.2
46,261.7142857,4718.4
47,278.4285714,5145.6
48,166.4285714,5149.8
49,328.8571429,5172.3
50,143.0,5298.6
51,144.5714286,5355.3
52,162.5714286,5565.6
53,256.2857143,6042.0
55,147.5714286,6104.4
56,165.1428571,6114.0
57,144.1428571,6130.5
58,326.1428571,6165.0
59,197.4285714,6180.3
60,283.7142857,6272.4
61,358.2857143,6273.0
62,359.1428571,6320.7
63,212.5714286,6527.1
64,177.0,6546.0
65,310.0,6581.7
66,243.4285714,6878.1
67,286.2857143,7030.5
68,291.8571429,7164.6
69,202.7142857,7306.8
70,327.2857143,7415.1
71,218.0,7693.2
72,248.4285714,7760.7
73,229.0,7800.3
74,422.2857143,7829.4
75,156.4285714,7834.2
76,441.8571429,7938.0
77,192.0,8016.3
78,277.5714286,8142.6
79,277.0,8155.8
80,309.4285714,8493.0
81,377.7142857,8516.4
82,241.4285714,8544.3
83,171.1428571,8812.8
84,277.0,8871.6
85,417.1428571,8932.5
86,450.2857143,8946.6
87,170.5714286,9025.5
88,187.1428571,9102.3
89,169.2857143,9123.6
90,382.8571429,9183.0
91,243.5714286,9275.4
92,262.4285714,9279.6
93,393.7142857,9363.3
94,189.7142857,9415.5
95,300.8571429,9430.2
96,200.5714286,9498.9
97,356.1428571,9738.0
98,225.5714286,9766.8
99,439.1428571,9815.4
100,276.1428571,10047.6
101,401.7142857,10221.6
102,176.4285714,10239.9
103,356.7142857,10467.6
104,303.0,10719.9
105,289.4285714,10749.9
106,253.0,10761.0
107,310.5714286,10872.6
108,257.8571429,10897.2
109,352.8571429,10988.1
110,432.5714286,11172.0
111,261.1428571,11198.4
112,391.7142857,11362.2
113,195.2857143,11435.7
114,394.5714286,11655.0
115,249.5714286,11717.1
116,211.2857143,11783.4
118,320.7142857,11965.2
119,204.7142857,12005.4
120,271.0,12051.3
121,229.0,12084.6
122,321.8571429,12088.2
123,205.5714286,12136.5
124,200.5714286,12165.0
125,338.2857143,12232.2
126,262.1428571,12297.9
127,208.0,12381.3
128,290.0,12404.1
129,209.8571429,12432.9
132,337.0,12470.1
133,286.0,12589.2
134,379.7142857,12687.3
135,221.2857143,12719.4
136,217.0,12849.6
137,350.1428571,12889.2
138,374.8571429,12908.7
139,278.7142857,12953.4
140,375.4285714,13102.8
141,225.5714286,13215.9
142,293.0,13413.9
143,267.5714286,13718.7
144,230.1428571,13788.3
146,275.4285714,13955.7
147,331.7142857,14335.5
148,255.5714286,14373.9
149,458.0,14436.3
150,380.1428571,14564.4
151,371.5714286,14659.5
152,557.0,14694.9
153,281.1428571,14724.9
154,367.4285714,14892.3
156,445.4285714,14973.0
157,322.8571429,15154.8
159,376.8571429,15943.2
160,359.4285714,16335.0
161,440.7142857,16427.4
162,387.7142857,16464.6
163,419.1428571,16491.6
164,501.7142857,17299.2
165,384.8571429,17408.1
166,412.2857143,17449.5
168,276.2857143,17654.7
169,438.8571429,17909.7
170,311.8571429,17976.3
171,344.1428571,18130.5
172,364.0,18246.9
173,367.7142857,18468.3
174,329.0,18574.5
176,437.2857143,18729.9
177,377.8571429,18735.6
178,352.8571429,18981.3
179,404.4285714,19041.6
180,310.7142857,19062.6
181,384.2857143,19154.7
183,309.4285714,19424.1
184,423.4285714,19554.3
185,385.7142857,19692.3
186,283.2857143,20052.3
187,376.5714286,20062.2
189,325.0,20415.3
190,316.2857143,20441.1
191,398.7142857,20566.8
192,368.7142857,20648.1
193,308.1428571,20773.2
194,366.8571429,20826.3
195,351.7142857,21206.7
196,394.2857143,21236.7
197,286.0,21282.3
198,361.2857143,21313.2
199,384.0,21431.7
200,393.2857143,21601.2
201,366.5714286,21639.6
202,412.2857143,21651.9
203,417.7142857,21677.4
204,309.5714286,21722.7
205,383.2857143,21776.1
206,411.0,21780.3
207,408.2857143,21905.4
208,430.5714286,21998.4
209,411.2857143,22091.1
210,391.4285714,22200.6
212,340.1428571,22561.8
213,381.1428571,22647.6
214,374.5714286,22755.9
215,322.5714286,22775.7
216,361.4285714,22828.2
218,368.2857143,22892.7
219,459.8571429,22919.7
220,393.8571429,23001.0
221,376.8571429,23031.3
222,352.8571429,23140.5
223,360.8571429,23202.6
224,401.7142857,23287.8
225,428.7142857,23393.7
226,375.7142857,23413.2
227,407.4285714,23417.4
228,416.4285714,23419.8
229,492.0,23460.9
230,408.5714286,23542.8
231,421.5714286,23551.2
232,408.1428571,23613.9
233,406.7142857,23637.6
234,374.2857143,23655.9
235,409.0,23723.4
236,371.1428571,23851.8
