,0,1
6,5.0,64.5
8,12.57142857,178.5
10,14.28571429,249.0
11,12.14285714,665.5
21,21.42857143,2410.5
25,45.14285714,2927.5
26,71.57142857,2958.5
43,65.28571429,4483.0
50,74.14285714,5065.0
66,69.57142857,6347.5
68,117.2857143,6670.0
69,117.7142857,6794.5
70,106.7142857,6797.5
73,72.71428571,7172.5
76,520.0,7340.0
85,130.5714286,8566.5
86,135.4285714,8581.5
117,138.7142857,10039.5
221,100.0,12132.5
231,148.8571429,12508.5
235,129.8571429,12662.0
241,114.8571429,13389.5
257,157.8571429,15064.0
263,286.1428571,16067.0
264,177.1428571,16106.0
270,136.2857143,16541.5
271,201.2857143,16551.0
274,196.8571429,17131.5
275,216.7142857,17597.5
278,458.7142857,17888.5
283,249.5714286,18475.0
285,216.4285714,18813.0
288,278.4285714,19582.0
289,369.8571429,19996.0
290,242.8571429,20183.5
291,416.0,20619.0
292,252.5714286,20938.5
298,252.5714286,22698.5
299,536.7142857,23018.5
305,281.4285714,23469.0
307,146.7142857,25231.0
310,300.2857143,25814.0
312,306.5714286,26022.5
316,206.2857143,26993.5
318,231.5714286,27684.5
320,304.0,28937.0
321,311.8571429,31640.0
322,328.8571429,33736.5
323,132.4285714,48940.0
324,268.5714286,52789.0
325,159.0,76774.0
326,137.8571429,130851.0
327,189.4285714,160064.0
328,321.4285714,327640.5
329,336.7142857,334850.0
330,323.2857143,335362.0
331,331.2857143,482719.5
332,306.2857143,515449.0
333,389.2857143,533295.5
334,157.4285714,1119019.0
335,340.2857143,1323918.5
336,300.1428571,1757496.0
337,381.5714286,1828540.5
338,353.5714286,1853033.0
339,302.1428571,1919597.0
340,383.5714286,1981554.0
341,313.7142857,2335983.5
342,356.5714286,2380948.5
343,431.2857143,3739795.5
344,323.2857143,3792791.0
345,308.5714286,3803089.5
346,331.2857143,4204902.5
